                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.94441,                0.50892,                0.99656,                 0.7181,                0.93463,                0.79052,                0.60196,                0.93918,                 1.1815,                 0.9951,             0.00011708,             0.00011708,             0.00011708
                     91,                0.94527,                0.47688,                0.99518,                0.73682,                0.92812,                0.79028,                0.59804,                  0.943,                 1.1701,                0.99679,             0.00010808,             0.00010808,             0.00010808
                     92,                0.93189,                0.46593,                0.98664,                0.71895,                0.93758,                0.79666,                 0.6068,                0.94264,                 1.1752,                0.99718,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                 0.9248,                0.45401,                0.98174,                0.72954,                0.92212,                0.79248,                0.60279,                0.93405,                  1.171,                0.99255,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                   0.92,                 0.4577,                0.98196,                0.73259,                0.94087,                0.80056,                 0.6083,                0.93496,                 1.1509,                0.99177,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.92057,                0.46068,                0.98626,                0.72829,                0.93752,                0.79784,                0.60691,                0.93321,                 1.1521,                0.98909,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.92427,                0.45483,                0.98467,                0.72872,                0.94139,                0.80019,                0.60743,                0.92588,                 1.1548,                0.98619,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.91653,                0.44851,                  0.975,                0.72371,                 0.9483,                0.79634,                0.60431,                0.92738,                 1.1576,                0.98788,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                 0.9164,                  0.448,                0.97562,                0.72228,                0.93742,                0.79646,                0.60774,                0.92423,                 1.1599,                0.98542,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.90291,                0.44555,                0.97301,                0.72305,                0.94463,                0.79275,                  0.604,                0.92034,                 1.1653,                0.98275,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.91213,                0.44619,                0.97748,                0.72215,                 0.9408,                0.79468,                0.60401,                0.92082,                  1.161,                0.98273,             2.7088e-05,             2.7088e-05,             2.7088e-05
